gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YER099C	57.25081	0.2527307	0.21888216	0.1474766	0.3385019
YER100W	51.78139	-0.1550711	0.23739101	0.3928989	0.6090882
YER101C	17.68574	0.005763618	0.28671078	0.9762452	0.9919454
YER102W	667.8677	1.835896	0.41520819	2.451332e-07	1.641584e-05
YER103W	4839.565	0.08563558	0.27134383	0.6539761	0.8088756
YER104W	65.44685	-1.344007	0.47418104	9.795567e-05	0.0017661
YER105C	167.9851	0.1249011	0.15704993	0.3707441	0.5939313
YER106W	25.12812	0.5113139	0.47763185	0.04736147	0.1636042
YER107C	66.82978	-0.004070329	0.2237304	0.9815011	0.9945573
YER109C	31.59206	-0.1115151	0.25460165	0.5506076	0.7308653
YER110C	146.622	0.3165248	0.281121	0.1128714	0.2856471
YER111C	322.5192	0.1760317	0.19167536	0.2730963	0.492527
YER112W	81.6694	0.05602297	0.1939595	0.7291375	0.858621
YER113C	37.18719	0.2329504	0.26977033	0.229266	0.4439368
YER114C	96.34917	-0.3506178	0.20273028	0.03540774	0.1339698
YER115C	142.7961	-0.2016785	0.19397946	0.2128081	0.424224
YER116C	69.2029	-0.2144924	0.26181813	0.2610285	0.477977
YER117W	633.2555	0.4258297	0.52050118	0.08635192	0.2417219
YER118C	11.58861	0.1944415	0.4000625	0.3601937	0.5842481
YER119C	103.2241	-0.248174	0.18232196	0.1099542	0.2804808
YER120W	89.63982	1.713979	0.38204552	2.292644e-07	1.570622e-05
YER121W	29.24725	1.600333	0.47896199	1.573016e-05	0.0004260425
YER122C	142.835	-0.2027242	0.16785081	0.1663947	0.3643583
YER123W	39.57404	0.3410118	0.25346348	0.07302964	0.2175184
YER124C	167.1412	0.2266093	0.22757788	0.203478	0.41416
YER125W	305.842	0.2345331	0.18157081	0.12986	0.3116124
YER126C	68.41472	0.07280761	0.28088104	0.7060172	0.8432907
YER127W	278.1197	-0.04145201	0.24436637	0.820873	0.9113326
YER128W	15.9204	0.1365124	0.29847704	0.4906604	0.6862714
YER129W	124.1728	-0.4050042	0.21325503	0.01880113	0.08614593
YER130C	69.8867	-0.8571612	0.29710937	0.0001663386	0.002703114
YER131W	43.54095	1.685319	0.56157749	3.371752e-05	0.0007554212
YER132C	241.3097	-0.1769384	0.17744134	0.2458405	0.4622586
YER133W	405.4737	-0.425069	0.23140425	0.0192534	0.08769072
YER134C	64.74283	0.003733291	0.2197828	0.982875	0.995069
YER135C	36.73589	-0.2120714	0.35646078	0.3146024	0.5385357
YER136W	194.955	-0.06895277	0.19910285	0.6749969	0.8253273
YER137C	61.80711	-0.1669102	0.25659353	0.3753387	0.597054
YER138C	9.827188	0	0.59544788	1	1
YER138W-A	14.71929	-0.3634703	0.4999	0.1257797	0.3055009
YER139C	3.358776	-0.2801188	0.50462027	0.2046379	0.4151321
YER140W	77.80364	-0.01294609	0.19162256	0.9357277	0.9711044
YER141W	178.5244	-0.2050004	0.19295681	0.2038172	0.4145734
YER142C	83.09354	0.259961	0.26660035	0.178883	0.3819597
YER143W	64.08939	0.06972218	0.20778153	0.6793567	0.82764
YER144C	158.0474	-0.3650838	0.24842513	0.05283648	0.1753734
YER145C	457.6052	0.1012777	0.26487114	0.5932806	0.7622711
YER145C-A	36.78712	-0.1977391	0.35392216	0.3453049	0.5685604
YER146W	23.52985	0.7473173	0.43270627	0.0060398	0.03898998
YER147C	74.37577	0.1776876	0.19838304	0.2791765	0.5009726
YER148W	59.9434	-0.2550014	0.21842846	0.1434155	0.3325623
YER149C	111.2207	0.692721	0.31164183	0.002105419	0.01748014
YER150W	647.2205	0.6142238	0.59112284	0.02967834	0.1181318
YER151C	401.6764	-0.08482534	0.15554855	0.5404384	0.7224022
YER152C	63.50528	0.1147378	0.25437283	0.5390876	0.7211217
YER153C	4.705369	0.04771256	0.37516011	0.8127211	0.9087869
YER154W	70.06542	-0.1905863	0.20317023	0.2528278	0.4696436
YER155C	580.7699	-0.2390636	0.13168994	0.04818385	0.1650548
YER156C	25.36285	0.7720859	0.50698848	0.008508845	0.04976286
YER157W	57.44167	0.3268831	0.24719703	0.08123271	0.2322971
YER158C	203.3896	0.150739	0.18430225	0.3354684	0.5608373
YER159C	94.3393	-0.1449797	0.18810395	0.3608023	0.5850797
YER160C	250.2265	19.61605	1.88222521	1.096036e-25	6.679244e-22
YER161C	322.4858	-0.2759831	0.17644457	0.06883646	0.2090127
YER162C	435.4032	-0.1067584	0.1925076	0.5073811	0.6996852
YER163C	57.775	0.3070115	0.28388301	0.1252187	0.3045114
YER164W	652.6749	-0.2565368	0.17630156	0.0906933	0.2485154
YER165W	93.24429	0.7951273	0.31917326	0.0006873082	0.007492766
YER166W	592.4494	-0.2568037	0.15486732	0.06228106	0.1947878
YER167W	246.8027	-0.2056887	0.18421822	0.188522	0.39491
YER168C	51.76317	0.09521567	0.2041853	0.5685708	0.7456145
