gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YGL144C	40.30331	-0.4086295	0.29604358	0.04969738	0.1713745
YGL145W	25.27784	-0.4684277	0.34104335	0.03835706	0.1435087
YGL146C	36.26913	-0.1132447	0.2783987	0.555413	0.7511527
YGL147C	77.71191	0.2457623	0.45904699	0.2332555	0.4539744
YGL148W	100.2036	0.6925606	0.32455477	0.003190259	0.02632845
YGL149W	1.669832	-0.2375656	0.5421404	0.1485342	NA
YGL150C	988.0611	-0.3426324	0.17912514	0.0231554	0.1037133
YGL151W	203.563	-0.4558885	0.18079198	0.002846004	0.02443229
YGL153W	232.0698	-0.1217496	0.18802605	0.4341831	0.6581035
YGL154C	57.76773	0.6016631	0.27682144	0.004014399	0.03084701
YGL155W	19.07863	-0.8486497	0.40949735	0.002051851	0.01932727
YGL156W	81.46744	0.414697	0.32780906	0.05822395	0.1887619
YGL157W	23.75602	-0.2284127	0.35775487	0.2813113	0.5056664
YGL158W	83.13713	1.320083	0.53416991	0.0001253022	0.00245469
YGL159W	29.57948	0.05432496	0.2430497	0.7630969	0.8877539
YGL160W	82.48934	0.219078	0.24027128	0.2264476	0.4472807
YGL161C	127.177	-0.138317	0.21640335	0.4156562	0.6414115
YGL162W	79.33217	0.6012847	0.28515215	0.004738312	0.03469536
YGL163C	998.6765	0.6189596	0.26240744	0.002301945	0.02106298
YGL164C	220.6936	-0.01510357	0.19074918	0.9234027	0.9707192
YGL166W	27.83814	0.04597283	0.32083839	0.8170326	0.9183163
YGL167C	238.9287	-0.3836984	0.15588552	0.004807389	0.03496969
YGL168W	8.621594	-0.7376093	0.613874	0.008846313	0.05377083
YGL169W	40.83742	-0.1767023	0.25469649	0.3419779	0.5713977
YGL170C	184.4793	-0.124608	0.40169598	0.5346886	0.7360467
YGL171W	139.5204	-0.01073475	0.2238083	0.9504243	0.984414
YGL172W	28.4864	0.1877787	0.23521521	0.2930229	0.5195456
YGL173C	733.335	-0.2362266	0.13687184	0.05475766	0.1820656
YGL174W	81.77825	0.1340833	0.2412372	0.4570926	0.6776752
YGL175C	43.27796	-0.3712095	0.2780734	0.063462	0.1996549
YGL176C	27.75899	0.2461648	0.27330387	0.20482	0.4188226
YGL178W	299.3779	0.2401554	0.19362885	0.1307842	0.3183038
YGL179C	126.7528	-0.08986892	0.18951241	0.5657072	0.7604276
YGL180W	375.5439	-0.04397548	0.17020633	0.7624558	0.8873537
YGL181W	61.68053	0.3462487	0.21418575	0.0424651	0.1539618
YGL183C	31.8576	0.2717298	0.35354075	0.2062536	0.4208545
YGL184C	24.75892	-0.1956226	0.29331267	0.3243005	0.5525222
YGL185C	22.97044	-0.2747789	0.29751277	0.1755381	0.381813
YGL186C	120.7252	-0.1234296	0.26073953	0.5092815	0.7164336
YGL187C	14.6842	0.901366	0.5160767	0.002823641	0.02431016
YGL188C-A	31.15416	-1.117165	0.60338463	0.0008437656	0.01030981
YGL189C	535.754	0.862139	0.46719075	0.002958599	0.02499859
YGL190C	257.9036	-0.03886402	0.20982705	0.8154874	0.9176153
YGL191W	165.4482	0.5468462	0.46836716	0.03241999	0.1287962
YGL192W	34.24959	-0.1784711	0.2636856	0.3452912	0.5741978
YGL194C	69.27148	-0.1957858	0.22614318	0.2626113	0.4840513
YGL194C-A	14.94888	-0.3727501	0.37177157	0.09936669	0.2663358
YGL195W	480.4913	-0.361268	0.16024639	0.009321975	0.05603501
YGL196W	63.40869	-0.1285048	0.22089708	0.4546859	0.6759761
YGL197W	627.4474	-0.5184212	0.18039215	0.0007294399	0.009233905
YGL198W	104.2372	0.4148332	0.2817423	0.04107909	0.1505813
YGL200C	97.39531	0.2379125	0.30476774	0.2416597	0.4617852
YGL201C	106.9392	-0.04353755	0.22465223	0.8013768	0.9090993
YGL202W	115.9889	0.2668806	0.2563266	0.1568315	0.3546814
YGL203C	380.3915	-0.1743038	0.18701617	0.2612916	0.4826162
YGL204C	64.27202	0.456889	0.5415894	0.05091997	0.173756
YGL205W	16.27402	0.2152697	0.31939754	0.29464	0.5214674
YGL206C	333.6333	-0.2027883	0.17073834	0.1638564	0.3639561
YGL207W	414.106	0.002147378	0.16596265	0.988012	0.9990102
YGL208W	157.9409	0.1312753	0.27576023	0.4935478	0.7063523
YGL209W	90.40698	0.7293131	0.39016085	0.005019121	0.03578669
YGL210W	69.64658	0.3381834	0.22587096	0.05527594	0.18311
YGL211W	23.80806	0.1053234	0.30439228	0.5943357	0.7813324
YGL212W	35.50889	-0.1845367	0.26558341	0.3311231	0.5603117
YGL213C	30.5029	-0.1263889	0.26405924	0.5017183	0.7120586
YGL215W	57.95327	0.2658262	0.2310472	0.1349396	0.3249972
YGL216W	121.8243	0.03254974	0.1798802	0.8294879	0.9239728
YGL219C	149.894	0.2062893	0.20237335	0.2069367	0.4216708
YGL220W	11.88837	0.1952108	0.31393313	0.3368865	0.5669612
YGL221C	54.3426	0.2228966	0.25952677	0.237461	0.45893
YGL222C	293.4565	0.5991119	0.30978746	0.007271822	0.04642002
YGL223C	25.58444	-0.1381475	0.28001298	0.4743144	0.6925778
YGL224C	18.30488	0.1759513	0.27658934	0.3622744	0.5896457
YGL225W	47.85985	0.05290816	0.31941126	0.7900034	0.9034761
YGL226C-A	8.383174	0.370119	0.44145498	0.1086626	0.2819972
YGL226W	17.82056	0.3150189	0.3225276	0.1367414	0.3281283
YGL227W	165.3468	-0.2353776	0.22755845	0.1807188	0.3881688
YGL228W	354.5864	-0.3858445	0.1922796	0.01523212	0.07879819
YGL229C	126.6515	-0.111247	0.19920132	0.4910365	0.7042127
YGL230C	3.735196	-0.5682781	0.71721702	0.01033596	0.06031455
YGL231C	64.14829	0.2505961	0.2959118	0.2133121	0.4301519
YGL232W	159.1345	-0.6980759	0.16698657	2.642201e-06	0.0001214396
YGL233W	175.678	-0.2171029	0.17871597	0.1489765	0.345281
YGL234W	82.50078	-0.1961811	0.37747826	0.3503552	0.5785306
YGL235W	2.417992	0.06076604	0.49257208	0.6788932	NA
YGL236C	43.29021	0.113759	0.25332498	0.5373199	0.7377036
YGL237C	15.26398	0.3319325	0.34100813	0.1263204	0.3125246
YGL238W	238.5636	-0.1620823	0.15424707	0.2307107	0.4513201
YGL240W	8.240292	0.3984078	0.43803655	0.08974384	0.2498575
YGL241W	62.74654	-0.06187315	0.21841473	0.7166288	0.8610209
YGL242C	169.1534	-0.3357601	0.21246529	0.04778265	0.1671554
YGL243W	16.01825	-0.01026653	0.30433657	0.9582366	0.9876569
YGL244W	311.0908	-0.2316287	0.17916169	0.1242928	0.3089224
YGL245W	722.2556	0.5496969	0.23998388	0.003598613	0.02847909
YGL246C	55.89916	-0.06083641	0.21773339	0.720703	0.8638316
YGL247W	81.93877	-0.2334631	0.23558962	0.1930505	0.4019082
