gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YFL018C	255.9167	0.5468085	0.21023665	0.001600747	0.01881351
YFL019C	0.8483761	0.1520528	0.47974446	0.2237951	NA
YFL020C	1.479647	0.06595514	0.4385115	0.6495174	NA
YFL021W	140.7729	0.249765	0.2528438	0.1867253	0.4024487
YFL022C	87.61969	0.4427453	0.34590234	0.043735	0.1677288
YFL023W	371.6012	0.1888869	0.22617379	0.2897187	0.5228149
YFL024C	295.7693	0.1240235	0.14717147	0.3513841	0.5847446
YFL025C	79.884	-0.2646827	0.20798498	0.1202142	0.310072
YFL026W	42.97219	0.4535104	0.24486607	0.01665914	0.091688
YFL027C	76.60857	-0.001236927	0.21331774	0.9942708	1
YFL028C	26.7625	0.006914867	0.29579358	0.971503	0.9923465
YFL029C	35.51132	-0.02230146	0.20853664	0.8956651	0.9541652
YFL030W	67.14206	-0.006696327	0.29865973	0.9724248	0.9931216
YFL031W	657.5538	0.1530239	0.24158211	0.4056539	0.6328437
YFL033C	289.996	-0.1498467	0.17567423	0.3246576	0.5574707
YFL034C-A	69.66181	-0.0307937	0.30797823	0.8739385	0.9454681
YFL034C-B	15.62914	0.1568287	0.33600174	0.4279884	0.6513889
YFL034W	413.2719	0.3165532	0.12886751	0.007773996	0.05582673
YFL036W	286.788	-0.1764621	0.16908514	0.233015	0.4583582
YFL037W	34.6839	-0.2790275	0.27325532	0.1547099	0.3638027
YFL038C	92.83315	0.2769358	0.22538595	0.1212377	0.311682
YFL039C	246.1689	0.8575898	0.29097076	0.000112183	0.00279038
YFL040W	129.4702	1.851681	0.25678715	3.407451e-15	1.03825e-11
YFL041W	77.99048	-0.2241746	0.19801815	0.1743388	0.3885957
YFL041W-A	5.275154	0.6448301	0.58304256	0.007312222	0.05407426
YFL042C	254.4951	-0.05468669	0.22155514	0.75585	0.8787009
YFL044C	12.60316	-1.264608	0.46407487	4.458901e-05	0.001491022
YFL045C	80.24852	0.09484241	0.2995178	0.6268032	0.8061922
YFL046W	14.59917	-0.5029621	0.39322215	0.0292412	0.131997
YFL047W	43.86909	-0.1357653	0.21248007	0.4301751	0.6532391
YFL048C	75.45685	-0.2259437	0.18037503	0.1447895	0.3479287
YFL049W	133.6762	-0.3291269	0.15434394	0.01689869	0.09203578
YFL050C	35.83438	0.06577334	0.22563313	0.7110731	0.8523594
YFL051C	48.60027	-0.3773768	0.3874943	0.0824326	0.2505458
YFL052W	152.9207	-0.3087486	0.31111847	0.1332269	0.3297664
YFL053W	3.179381	0.2645429	0.45259406	0.1506421	0.3576209
YFL054C	4.319406	-0.07526246	0.38255885	0.6786293	0.8342882
YFL055W	8.432503	-0.03421691	0.37297847	0.8517306	0.9345449
YFL056C	1.403127	0.02119858	0.43699409	0.8813822	NA
YFL058W	1.884455	-0.02564738	0.43741945	0.8565624	0.9372198
YFL059W	3.22308	0.02429056	0.47560648	0.7824804	0.89397
YFL060C	2.807511	-0.2323318	0.46314374	0.1694122	0.382795
YFL061W	5.257565	-0.07262601	0.50745638	0.2322773	0.4577634
