gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YBR054W	167.4795	-1.265748	0.3579949	1.206413e-05	0.0002285984
YBR055C	258.8342	0.1331243	0.16722889	0.3701144	0.5543002
YBR056W	153.4382	0.2876326	0.25649707	0.1876116	0.3537454
YBR056W-A	21.50016	-0.9550971	0.58131384	0.00442152	0.02249144
YBR057C	112.2782	0.3435307	0.16980715	0.02696907	0.08573267
YBR058C	124.8109	0.1116829	0.16466868	0.4461014	0.6229473
YBR058C-A	28.58024	-1.054298	0.40170581	0.0005886517	0.004776623
YBR059C	138.5646	-0.06440353	0.20455174	0.7202013	0.8356639
YBR060C	81.47913	-0.1213294	0.22977611	0.5413733	0.705847
YBR061C	10.26447	-0.4196926	0.39225799	0.1455711	0.2966658
YBR062C	38.15586	0.2115924	0.27090911	0.3519504	0.5382147
YBR063C	26.07291	0.2961928	0.37187194	0.288872	0.4718268
YBR065C	99.25661	0.6718797	0.28636485	0.006486516	0.02999153
YBR066C	114.4799	0.5054268	0.26771222	0.02880736	0.09011912
YBR067C	1405.866	0.9263672	0.40845303	0.002537873	0.01460085
YBR068C	1311.286	-0.1481842	0.25008858	0.487046	0.6576877
YBR069C	432.075	0.1087251	0.26865665	0.6303247	0.77179
YBR070C	57.17837	0.2982324	0.30601271	0.2317644	0.4087363
YBR071W	53.60125	-0.4753691	0.32128206	0.0686696	0.1730656
YBR072C-A	0.3595049	-0.03599603	0.63861176	0.7659264	NA
YBR072W	2111.268	0.4234368	0.4448857	0.1551596	0.3102175
YBR073W	70.93557	-0.3033024	0.26966669	0.1821512	0.3458036
YBR074W	116.9597	-0.1879607	0.21747782	0.3201105	0.5048727
YBR076W	8.717412	-0.6804166	0.46979479	0.02910914	0.0906444
YBR077C	52.293	-0.9761813	0.28679695	9.34234e-05	0.001145517
YBR078W	228.5812	0.2000722	0.31946894	0.4340038	0.6130934
YBR079C	486.9209	0.9013094	0.21526896	6.288473e-06	0.0001439403
YBR080C	137.8747	-0.04512618	0.17667955	0.7744226	0.8709056
YBR081C	538.1058	0.2553973	0.1495991	0.05964741	0.1569063
YBR082C	105.8497	-0.5400104	0.30882978	0.03508202	0.104645
YBR083W	129.6874	-0.1374661	0.22241583	0.4763402	0.6473723
YBR084C-A	248.5072	0.1332102	0.30734569	0.5927765	0.7458972
YBR084W	123.3145	0.6150973	0.26862249	0.008789998	0.03782927
YBR085C-A	164.282	-2.59142	0.76130964	1.187266e-07	6.029331e-06
YBR085W	5.154729	-0.1538859	0.48518157	0.5854619	0.7403893
YBR086C	528.0297	-0.102545	0.1921202	0.545163	0.709422
YBR087W	59.98345	-1.014094	0.31273374	0.0001319313	0.001503711
YBR088C	30.617	0.2930867	0.45072202	0.3164853	0.5013417
YBR089C-A	64.2876	0.1677085	0.22034981	0.3806302	0.5635473
YBR090C	88.36707	-0.1108422	0.25561785	0.6098149	0.7571744
YBR091C	21.08647	0.3028026	0.39771049	0.2910841	0.4747901
YBR092C	17.73748	-0.0314355	0.39451952	0.9112967	0.9589781
YBR093C	12.2771	-0.3237111	0.51592354	0.2531339	0.4328277
YBR094W	97.86891	-0.3419697	0.20195184	0.05752275	0.1522779
YBR095C	172.8678	-0.1714868	0.18533962	0.2941288	0.4767101
YBR096W	68.14106	-1.033642	0.26339003	1.039261e-05	0.0002063183
YBR097W	138.9658	-0.5385602	0.23628416	0.01086114	0.0439737
YBR098W	66.92323	-0.4211117	0.22727953	0.03650961	0.1077953
YBR101C	685.1763	-0.2311765	0.36019087	0.3990041	0.5792118
YBR102C	81.6789	-0.3858581	0.22633726	0.05310655	0.142931
YBR103W	63.98657	0.563649	0.30643521	0.0274233	0.08694984
YBR104W	72.49022	-0.2214301	0.31503179	0.3825103	0.5650789
YBR105C	93.77291	-0.01154594	0.31563804	0.9636487	0.9874685
