gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YDR317W	3.659931	0.749215	0.71794916	0.166546	0.2505695
YDR318W	93.15967	0.1748077	0.24911264	0.4694155	0.5775951
YDR319C	131.2532	-1.086041	0.27680771	4.448076e-05	0.0001651882
YDR320C	77.91032	1.137564	0.29062826	4.304851e-05	0.0001602445
YDR320C-A	306.7661	-1.352372	0.55117234	0.004056187	0.00975669
YDR321W	28.45297	-0.4338399	0.33246599	0.1678398	0.2522768
YDR322C-A	76.47109	-1.670945	0.39130751	3.660031e-06	1.672592e-05
YDR322W	19.8817	-0.7083375	0.42432712	0.06713183	0.1155228
YDR323C	65.32514	0.660115	0.26138097	0.008954045	0.01978248
YDR324C	140.3108	0.9985231	0.23860293	1.634718e-05	6.591871e-05
YDR325W	181.8091	1.876081	0.23194339	8.262418e-17	2.977757e-15
YDR326C	263.9638	1.454663	0.16574189	5.236041e-19	2.814594e-17
YDR328C	57.69814	-1.621339	0.32175803	1.011014e-07	6.23819e-07
YDR329C	134.0548	0.6594965	0.1885405	0.0003698266	0.00112671
YDR330W	33.37784	-2.491067	0.381475	1.818274e-12	2.726551e-11
YDR331W	63.94561	-0.4439392	0.22077092	0.03940592	0.07304258
YDR332W	78.85771	0.1890325	0.25144863	0.4380495	0.547821
YDR333C	152.2544	0.9880394	0.19383193	2.023792e-07	1.177699e-06
YDR334W	1139.07	0.6274605	0.19832796	0.001252864	0.003406308
YDR335W	573.1593	1.059354	0.19607548	3.553651e-08	2.370222e-07
YDR336W	59.51471	-0.5386182	0.22012394	0.01219069	0.02593077
YDR337W	213.1007	-0.1200914	0.18481891	0.5088176	0.6145384
YDR338C	79.03729	-0.4170893	0.23458627	0.06769546	0.116398
YDR339C	168.9574	0.7898896	0.21696592	0.0001926011	0.0006233003
YDR341C	210.5958	0.5663125	0.19007908	0.002418417	0.006126207
YDR342C	5205.573	-3.297133	0.32203129	2.863881e-27	4.909621e-25
YDR343C	0.945054	0.05788019	1.21730778	0.7767047	0.8466468
YDR344C	5.361891	-0.2264744	0.59990108	0.6473334	0.7408393
YDR345C	363.0348	-2.973893	0.40522465	1.333845e-15	3.71078e-14
YDR346C	913.4209	0.5800518	0.21070543	0.004885252	0.01149375
YDR347W	34.2259	-1.050832	0.36762029	0.002169514	0.005546644
YDR348C	103.5149	1.27577	0.2943426	5.718725e-06	2.499922e-05
YDR349C	65.72887	-0.3675353	0.23729217	0.1112692	0.1782275
YDR350C	105.3571	-0.2633668	0.19261313	0.1638069	0.247152
YDR351W	304.9989	1.694325	0.17117661	8.564724e-24	9.530885e-22
YDR352W	31.54337	-0.6878404	0.31960839	0.02342707	0.04601979
YDR353W	153.0491	0.4792698	0.22684719	0.03020844	0.0577667
YDR354W	36.75053	-1.445205	0.37521559	3.348875e-05	0.0001278863
YDR356W	983.1561	1.207024	0.17901409	7.015548e-12	9.508466e-11
YDR357C	243.6297	-1.483167	0.37179635	1.777798e-05	7.128047e-05
YDR358W	175.1241	-1.294116	0.37176664	0.0001820621	0.0005928233
YDR359C	190.6086	2.024993	0.21393217	2.919447e-22	2.723243e-20
YDR361C	56.74437	1.363298	0.28750829	7.276647e-07	3.830355e-06
YDR362C	91.42353	-0.01181996	0.19031845	0.9495984	0.9766592
YDR363W	201.4234	1.082821	0.21463196	2.374194e-07	1.375298e-06
YDR363W-A	211.0472	0.385888	0.23565273	0.09236437	0.1520073
YDR364C	82.1772	0.4043666	0.19501324	0.03462362	0.06497562
YDR365C	731.063	1.650975	0.27320657	3.178224e-10	3.096693e-09
YDR365W-B	0.09205122	0	1.21431512	1	1
YDR366C	55.486	-0.6978655	0.39664558	0.05656594	0.09994366
YDR367W	82.8119	0.3355095	0.36572728	0.3265655	0.4334172
YDR368W	17.55617	-0.710384	0.62853265	0.1628916	0.2459465
YDR369C	93.76069	-0.4615336	0.19886189	0.01794849	0.03647783
YDR370C	45.1904	-1.034939	0.32040935	0.0006581644	0.001907143
YDR371W	116.4747	-2.024308	0.32784129	6.204875e-11	6.7741e-10
YDR372C	42.6121	-0.4699318	0.27556524	0.07655067	0.1298291
YDR373W	4.798967	-0.9391	0.62570712	0.06488383	0.1125091
YDR374C	19.04953	1.814978	0.42218694	2.345674e-06	1.108689e-05
YDR374W-A	24.31042	-0.3074228	0.39347837	0.3982777	0.5067755
YDR375C	62.32135	-0.5362647	0.24567119	0.02447993	0.0478952
YDR376W	76.67478	-0.9111466	0.24943423	0.0001624463	0.0005355494
YDR377W	107.2742	-1.746561	0.31473896	4.889118e-09	3.847603e-08
YDR378C	40.2502	-1.446531	0.34027016	6.196349e-06	2.69756e-05
YDR379C-A	63.81267	-1.43009	0.45296992	0.000439865	0.001319803
YDR379W	159.3464	-0.09885229	0.19848982	0.6116773	0.7109894
YDR380W	63.75819	-1.541013	0.52375164	0.0006914298	0.001990803
YDR381C-A	201.9264	-0.8108051	0.30978759	0.005985376	0.01381056
YDR381W	277.9317	0.09564832	0.19393842	0.6154481	0.7134114
YDR382W	612.1747	0.9063654	0.2950025	0.001314992	0.003553896
YDR383C	68.13733	0.6388749	0.22744684	0.003943211	0.009510186
YDR384C	8.275158	-0.5617762	0.53992998	0.2256203	0.3208766
YDR385W	105.8787	-0.67589	0.43573285	0.08729067	0.1449816
YDR386W	58.86816	0.8881439	0.21541615	2.422602e-05	9.48148e-05
YDR387C	73.29885	-0.8507196	0.28582174	0.001914211	0.004957876
YDR388W	980.2433	0.6124902	0.157815	8.511707e-05	0.0002972575
YDR389W	169.9911	1.087722	0.24228283	3.680237e-06	1.680615e-05
YDR390C	170.2563	1.186473	0.17100286	1.844154e-12	2.758837e-11
YDR391C	63.88634	-0.5217185	0.27714049	0.0504505	0.0904487
YDR392W	47.51431	-0.4598085	0.22796591	0.03848956	0.07149027
YDR393W	111.2954	0.9190825	0.19876512	2.375485e-06	1.120275e-05
YDR394W	123.1227	-0.7449192	0.21684808	0.0004352065	0.001307062
YDR395W	98.01812	0.7779292	0.29718161	0.00618288	0.01423521
YDR397C	14.71614	0.740428	0.4836979	0.08401865	0.1402279
YDR398W	56.07005	1.228297	0.30824435	2.809153e-05	0.0001086578
YDR399W	167.5633	-1.315873	0.36553209	0.000112674	0.0003852784
YDR400W	20.15784	0.4430494	0.39186562	0.2217435	0.3164272
YDR402C	5.103355	0.5710066	0.52358315	0.2084314	0.3016382
YDR403W	18.86343	0.392347	0.36042215	0.2452546	0.3434106
YDR404C	23.87628	-2.328966	0.43362603	3.180241e-09	2.606236e-08
YDR405W	73.08999	0.3168204	0.2060624	0.1164428	0.1852049
YDR406W	2030.596	-0.6787147	0.2952825	0.01630522	0.03359013
YDR407C	98.69295	0.3173737	0.25979643	0.2065832	0.2995787
YDR408C	42.62325	-1.352628	0.39681997	0.0002136847	0.000683696
YDR409W	54.26912	-1.627652	0.28229844	1.775794e-09	1.530416e-08
YDR410C	15.99276	0.01366143	0.43121033	0.9722304	0.9918972
YDR411C	138.8416	-0.3969601	0.19759701	0.04056671	0.07490966
YDR412W	144.4839	1.508708	0.25842411	1.445718e-09	1.270943e-08
YDR414C	18.78947	-0.4527662	0.37491162	0.1948427	0.2858865
YDR415C	60.90745	-0.3458347	0.27416599	0.190455	0.2808126
YDR416W	85.05267	-0.1957233	0.2050611	0.3299152	0.4365148
YDR418W	197.5301	0.9568952	0.51389228	0.03262542	0.06169882
YDR419W	36.84617	-0.6776682	0.25962465	0.006927341	0.01569851
YDR420W	427.1768	1.638647	0.24740799	7.649601e-12	1.027996e-10
YDR421W	89.01872	0.4866704	0.19782564	0.01213444	0.0258371
YDR422C	171.2645	0.7704418	0.21744664	0.0002845952	0.00088707
YDR423C	296.0491	0.4120723	0.20643257	0.04149487	0.07637898
YDR424C	118.2299	-0.6819183	0.30760738	0.02004507	0.04018517
YDR425W	49.61551	-0.3563115	0.26879412	0.169486	0.2545701
YDR427W	139.936	-0.4344263	0.17325633	0.01093522	0.02353651
YDR428C	16.2066	0.5495335	0.3573441	0.100952	0.1637276
YDR429C	726.6985	0.7840478	0.19253778	3.334825e-05	0.0001275033
YDR430C	192.6903	-0.2524005	0.18122411	0.1569857	0.2379994
YDR432W	320.5604	0.4494144	0.24029926	0.05428855	0.09637623
YDR434W	103.8157	0.4109156	0.17739433	0.01864585	0.03770183
YDR435C	33.59338	-2.548765	0.41516037	1.885398e-11	2.326669e-10
YDR436W	88.8944	-0.9126719	0.26852906	0.0004205575	0.001264863
YDR437W	6.68227	-3.227449	1.1446416	9.41647e-06	3.966047e-05
YDR438W	61.67939	-0.7529472	0.24760876	0.001708576	0.004476456
YDR439W	33.10175	-0.4727428	0.27361193	0.07290731	0.1243482
YDR440W	66.73949	1.367688	0.23667262	2.62593e-09	2.188735e-08
YDR441C	27.35674	1.721717	0.40407178	3.418233e-06	1.568875e-05
YDR443C	229.0367	0.8874619	0.16235481	3.020151e-08	2.042305e-07
YDR444W	93.72842	1.142943	0.22214939	1.296082e-07	7.84451e-07
YDR446W	9.910044	1.52974	0.48055213	0.0003292936	0.001012462
YDR447C	729.0975	-0.2977372	0.32958109	0.3402795	0.4475208
YDR448W	50.45021	1.22115	0.27149275	2.933767e-06	1.356333e-05
YDR449C	68.45116	1.163129	0.43308186	0.003062376	0.007575916
YDR450W	183.5973	1.058993	0.49070162	0.01443371	0.03014588
YDR451C	83.63925	2.099158	0.44231135	1.478285e-07	8.861952e-07
YDR452W	1169.781	1.062372	0.1810759	2.405127e-09	2.023305e-08
YDR453C	78.79308	-1.593935	0.57384473	0.0009940148	0.002756785
YDR454C	55.26719	1.543041	0.33065388	7.589955e-07	3.978767e-06
YDR456W	149.6933	-1.597882	0.21928468	7.543634e-14	1.458819e-12
YDR457W	772.8906	0.8685937	0.12595026	3.594202e-12	5.123152e-11
YDR458C	485.4823	0.8493871	0.16364084	1.426809e-07	8.602898e-07
YDR459C	38.26619	0.8570153	0.22182004	7.441256e-05	0.0002638339
YDR460W	165.9097	0.83014	0.17654258	1.777035e-06	8.627778e-06
YDR461C-A	20.01775	0.006956645	0.42808613	0.9857743	1
YDR461W	0.2392048	0.0404254	1.19641693	0.8617727	0.9146962
YDR462W	85.18811	0.591712	0.32540214	0.0551009	0.09765438
YDR463W	620.6353	0.9941207	0.16616884	1.291501e-09	1.145733e-08
YDR464W	1075.282	1.912084	0.18538558	7.872343e-26	1.217909e-23
YDR465C	69.09066	0.8615234	0.30950859	0.003462591	0.008460406
YDR466W	295.096	0.2111046	0.16417063	0.1926145	0.2834038
YDR468C	110.1929	0.5539519	0.19075505	0.0031067	0.007682572
YDR469W	78.35319	0.6963193	0.21081247	0.0007310235	0.002092456
YDR470C	96.9422	0.1425659	0.23244675	0.5288444	0.6327975
YDR471W	156.4524	0.3158943	0.49935831	0.4717865	0.5799499
YDR472W	18.34991	-0.2483985	0.38497337	0.4869769	0.5947043
YDR473C	329.9108	0.6473515	0.22065478	0.002644902	0.006631074
YDR475C	230.7558	-0.6158352	0.27060649	0.01822718	0.03697145
YDR476C	34.67942	-1.488704	0.35242305	6.451308e-06	2.792488e-05
YDR477W	105.0747	0.1106883	0.20847055	0.5875858	0.6879026
YDR478W	136.3223	1.485884	0.23267187	4.899576e-11	5.549644e-10
YDR479C	231.9506	-0.5268974	0.29996702	0.06613821	0.1142469
YDR480W	15.50206	1.089464	0.47096284	0.009424055	0.02069117
YDR481C	86.35431	-1.486078	0.26404935	5.175917e-09	4.028324e-08
YDR482C	33.10991	0.4030484	0.36232018	0.2347298	0.3314539
YDR483W	52.75956	-0.6658514	0.36753069	0.05232413	0.09338547
YDR484W	62.4731	-0.5080423	0.29352973	0.0707636	0.1210827
YDR485C	1028.227	0.6699297	0.19284627	0.0004012215	0.001211303
YDR486C	31.01066	0.494465	0.38439952	0.1656944	0.2494658
YDR487C	105.2503	0.2990023	0.41945255	0.4358072	0.5454469
YDR488C	50.52897	1.424631	0.26794708	3.31739e-08	2.221986e-07
YDR489W	21.66813	-0.2387918	0.30395705	0.4108469	0.5195379
YDR490C	233.2931	0.07704681	0.22931504	0.7302905	0.8101142
YDR492W	129.973	-1.067962	0.47790062	0.01184749	0.02528554
YDR493W	37.8521	-0.5425668	0.37192511	0.1176907	0.186768
YDR494W	181.0714	0.09313145	0.2032247	0.6400754	0.7345755
YDR495C	243.0262	0.6533625	0.14313286	3.994271e-06	1.80582e-05
YDR496C	525.5524	1.403855	0.30396277	1.233641e-06	6.195554e-06
YDR497C	97.48065	-0.135838	0.32909496	0.6631548	0.7555938
YDR498C	49.56503	0.1296092	0.24857328	0.5909518	0.6909506
YDR499W	109.6349	1.434796	0.19185716	2.396588e-14	5.153069e-13
YDR500C	55.46827	0.367585	0.55783647	0.437734	0.5475344
YDR501W	13.18764	0.6676821	0.41138746	0.07678386	0.1301244
YDR502C	42.45026	-1.042621	0.51021894	0.01926786	0.03884807
YDR503C	16.84496	-0.911225	0.38340101	0.01035708	0.02248288
YDR504C	55.56675	-0.7230777	0.30681513	0.01343887	0.02829165
YDR505C	166.7274	-1.085117	0.28556302	7.356793e-05	0.0002611312
YDR506C	16.98413	-1.064835	0.40794361	0.004429702	0.01055111
YDR507C	636.0872	2.029183	0.31850711	1.75075e-11	2.177452e-10
YDR508C	1230.05	0.3852372	0.21814541	0.07062477	0.1208777
YDR510W	24.4845	-0.05226515	0.53414399	0.9095928	0.9469141
YDR511W	23.86422	-0.1274214	0.37561249	0.7158084	0.7993614
YDR512C	28.59759	-0.1684277	0.3899956	0.6410974	0.7353492
YDR513W	24.22682	-0.8583045	0.54330534	0.06527599	0.1130963
YDR514C	33.26215	0.3573909	0.28322191	0.1891552	0.278961
YDR515W	70.41509	1.868912	0.21775963	1.298233e-18	6.640881e-17
YDR516C	275.1194	-1.592986	0.3560606	1.71056e-06	8.333398e-06
YDR517W	162.2414	0.8263672	0.22663238	0.0001819808	0.0005928233
YDR518W	290.6923	1.480962	0.18092894	8.042318e-17	2.914996e-15
YDR519W	12.10714	-1.477755	0.46127936	0.0003426852	0.00104906
YDR520C	141.9102	0.9079749	0.21078634	1.04965e-05	4.371589e-05
YDR522C	6.268192	0.3426214	0.51271146	0.4437622	0.5536499
YDR523C	12.93553	-0.3633573	0.39544426	0.3200576	0.4266762
YDR524C	96.65423	-1.512821	0.211594	2.413221e-13	4.216821e-12
YDR524C-B	384.059	0.9881742	0.441146	0.01321938	0.02786658
YDR524W-C	0.1905253	0.03761603	1.20089571	0.8671115	0.9194396
YDR525W	2.108465	0.1208737	0.6785346	0.8182621	0.880487
YDR525W-A	34.96018	-0.7112412	0.45259781	0.08076649	0.135853
YDR527W	666.3766	1.465879	0.29010349	1.261994e-07	7.652801e-07
YDR528W	45.27822	0.7245808	0.37938978	0.03983529	0.07368774
YDR529C	2105.823	-0.4875444	0.249039	0.04348723	0.07967634
YDR530C	17.154	-0.6376066	0.35170278	0.05358502	0.09528729
YDR531W	41.39099	-0.8797751	0.31861155	0.003628621	0.008832058
YDR532C	226.6753	0.6934813	0.16956794	3.337482e-05	0.000127528
YDR533C	193.785	1.130698	0.40629658	0.002424213	0.006135631
YDR534C	2.101518	0.03652561	0.77800534	0.9466403	0.9749211
YDR536W	11.11513	-0.8023882	0.58562882	0.1006892	0.1633849
YDR538W	2.901675	-0.3465552	0.71247377	0.5182665	0.622489
YDR539W	105.5533	-0.5014534	0.22741778	0.02367605	0.04649449
YDR540C	30.00108	0.454215	0.31662204	0.131473	0.2049479
YDR541C	19.11289	-2.00027	0.5294107	1.285635e-05	5.261148e-05
YDR542W	0.4226085	0	1.21431512	1	1
YDR545W	157.5074	0.4070341	1.05054902	0.3850403	0.4942949
YEL001C	61.38611	0.6823212	0.33692928	0.03194358	0.06060967
YEL002C	132.4681	0.5614631	0.34361112	0.0828719	0.1386198
YEL003W	291.1181	-1.364277	0.29803156	1.604196e-06	7.881807e-06
YEL004W	38.64689	-0.4303846	0.23941902	0.06440475	0.11177
YEL005C	36.05292	-1.26558	0.33316815	5.66067e-05	0.0002057193
YEL006W	59.35497	-0.2847854	0.28626913	0.3002089	0.4041225
YEL007W	141.247	-0.3574593	0.27477048	0.1768511	0.2639451
YEL008W	3.20576	-1.565407	0.79807107	0.006745252	0.01535719
YEL009C	292.1272	1.021262	0.5621607	0.0320881	0.06083386
YEL009C-A	17.28278	1.692297	0.34868976	2.251753e-07	1.307955e-06
YEL011W	3326.134	-0.7525737	0.25985013	0.002727148	0.006818407
YEL012W	284.9369	-1.642518	0.25951929	5.29981e-11	5.887337e-10
YEL013W	95.01956	-1.131946	0.21235432	4.828034e-08	3.131311e-07
YEL014C	1.231099	0.5414796	0.88045147	0.3251794	0.4320513
YEL015W	126.6526	0.5719139	0.20270354	0.003979958	0.009591516
YEL016C	47.81086	0.8325221	0.31090279	0.004903882	0.01153331
YEL017C-A	119.3791	-5.091652	0.56194739	5.281681e-23	5.317731e-21
YEL017W	62.03133	0.3212889	0.21919348	0.1334047	0.2074495
YEL018W	65.20033	0.1547545	0.23023725	0.4903027	0.5973857
YEL019C	11.67315	-0.5391747	0.43676096	0.1735382	0.2599793
YEL020C	29.67298	-0.2413962	0.26922933	0.3527636	0.4608815
YEL020W-A	55.96149	-1.862026	0.41384875	8.50332e-07	4.406582e-06
YEL021W	27.74086	-0.3736151	0.3293683	0.2311172	0.327739
YEL022W	282.3852	1.412413	0.16643286	7.103011e-18	3.1072e-16
YEL023C	68.45408	0.7251474	0.29863771	0.01107139	0.02379731
YEL024W	15.95331	-4.50981	0.8001529	5.196149e-12	7.196326e-11
YEL025C	98.76885	-1.042146	0.2748754	8.056698e-05	0.0002828093
YEL026W	183.8095	1.76254	0.70061063	0.001281868	0.003473254
YEL027W	64.23917	-2.977334	0.56410775	7.186043e-10	6.703099e-09
YEL028W	8.124799	-0.3751281	0.52146313	0.4073164	0.516219
YEL029C	17.57157	-0.9427887	0.39491991	0.009668377	0.02114708
YEL030W	22.68692	-0.2842493	0.38975317	0.4311301	0.5407668
YEL031W	242.9817	-0.05245747	0.20607453	0.7949542	0.8613043
YEL032W	79.38869	-0.09098364	0.27217039	0.7288227	0.8094581
YEL033W	2876.802	0.7545828	0.37685407	0.03131565	0.0596067
YEL034W	723.8285	0.8509784	0.32779583	0.006090934	0.01404391
YEL035C	50.89311	-1.435893	0.31701188	1.777787e-06	8.627778e-06
YEL036C	54.6664	1.125737	0.25900696	6.75918e-06	2.920536e-05
YEL037C	40.68279	-1.2823	0.27698885	1.432142e-06	7.102483e-06
YEL038W	99.48827	-1.079589	0.32297117	0.0004174868	0.001256223
YEL039C	295.0937	-1.910515	0.44956385	2.325636e-06	1.100038e-05
YEL040W	39.77271	-1.783151	0.43688952	6.449472e-06	2.792488e-05
YEL041W	76.52189	-0.2693867	0.24913174	0.2649157	0.3656593
YEL042W	113.2436	1.378393	0.23984453	3.113232e-09	2.557931e-08
YEL043W	79.97063	0.710252	0.21091604	0.0005737569	0.001682543
YEL044W	71.91971	-1.547876	0.32323745	4.144897e-07	2.290164e-06
YEL046C	60.85182	-2.784909	0.37885239	2.28413e-15	6.087494e-14
YEL047C	29.85864	-1.02925	0.36478562	0.002504011	0.006324128
YEL048C	9.237894	-0.9756301	0.48539827	0.02309879	0.04544529
YEL049W	2.283805	-0.276539	0.81747838	0.6141962	0.7125276
YEL050C	253.8519	-0.1344554	0.15450793	0.378658	0.4873923
YEL051W	170.1244	-0.1715926	0.23311384	0.4496777	0.5592756
YEL052W	139.2807	0.6394908	0.20524457	0.001461943	0.003912703
YEL053C	26.12927	-0.1801077	0.31487143	0.5479651	0.6505067
YEL054C	530.8656	1.198765	0.24797928	5.955232e-07	3.182311e-06
YEL055C	392.6576	1.221584	0.21095548	3.066654e-09	2.532785e-08
YEL056W	39.16997	-0.1439544	0.24358106	0.5428974	0.6460785
YEL057C	22.45258	-0.3865934	0.35495563	0.2459733	0.3441889
YEL058W	29.39175	-0.7272792	0.3951376	0.04620149	0.08397021
YEL059C-A	40.5004	1.256767	0.47210699	0.002787266	0.006957743
YEL059W	4.125726	-1.531902	0.91596666	0.01057782	0.02288374
YEL060C	1292.589	0.08132124	0.23436171	0.7215088	0.8034639
YEL061C	102.4153	0.5919067	0.21701843	0.005233178	0.01221267
YEL062W	39.85365	-0.6749244	0.26913514	0.009295914	0.02042396
YEL063C	90.15311	-0.5238292	0.22703229	0.017924	0.0364514
YEL064C	22.98337	-0.1388571	0.29544867	0.623648	0.720415
