gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YGL071W	295.4843	0.09134012	0.16228913	0.5526862	0.7324388
YGL073W	215.2154	0.1768802	0.17004597	0.2698017	0.4739123
YGL075C	27.25924	-0.09214073	0.36489382	0.7277674	0.8566051
YGL076C	275.3004	0.05818776	0.37341253	0.8265152	0.9144612
YGL077C	70.54047	-1.282701	0.27804259	5.258652e-08	4.808574e-06
YGL078C	279.598	0.477351	0.25185469	0.02993971	0.1029674
YGL079W	11.41329	0.08357713	0.35797646	0.751221	0.872247
YGL080W	218.7715	0.1518997	0.21859558	0.4425496	0.6455016
YGL081W	56.84165	0.6536156	0.25699384	0.003400787	0.02126588
YGL082W	955.9041	-1.350972	0.39507073	2.923915e-06	0.0001010485
YGL083W	37.75773	0.1186848	0.23382717	0.5689405	0.7438335
YGL084C	64.23545	-0.5427401	0.26800522	0.01810118	0.07191894
YGL085W	20.29943	-0.1199808	0.3209448	0.6365512	0.7943922
YGL086W	352.0875	0.3730572	0.13838358	0.005045443	0.02834017
YGL087C	45.53494	-0.09902636	0.29559813	0.6843199	0.8280018
YGL088W	11.65532	-0.5119146	0.41707768	0.06202696	0.1728748
YGL089C	0.680558	0.03207797	0.54219331	0.8272386	0.9146105
YGL090W	143.2004	0.4750401	0.20259823	0.01057681	0.04933728
YGL091C	27.42139	0.1048512	0.29521841	0.666619	0.815945
YGL092W	306.3607	0.5990047	0.15737246	6.066152e-05	0.001007665
YGL093W	130.8145	0.5820041	0.23734487	0.00569648	0.03095618
YGL094C	127.3025	0.5740952	0.19039141	0.001133371	0.009321828
YGL095C	73.71771	-0.2544023	0.18512228	0.1402043	0.3016085
YGL096W	151.5851	-0.1967214	0.28001726	0.4044831	0.6101177
YGL097W	41.02972	0.4703343	0.24384743	0.02855026	0.09923171
YGL098W	32.35738	0.009682478	0.2783484	0.9671431	0.9926561
YGL099W	222.0627	0.6529629	0.202121	0.00042703	0.004538927
YGL100W	27.44704	0.2065912	0.27975418	0.3810536	0.5876466
YGL101W	15.99067	0.1261044	0.41427105	0.6329762	0.7922396
YGL103W	379.6223	-0.01474444	0.38558624	0.9557817	0.9861779
YGL104C	24.32579	-0.3512693	0.31628833	0.1647995	0.3373019
YGL105W	267.6107	0.7195231	0.2212291	0.0003077227	0.003603427
YGL106W	5.906141	0.4811368	0.48933717	0.0623113	0.173434
YGL107C	63.22349	0.02265837	0.23879907	0.9147532	0.9640569
YGL108C	320.1725	0.7250599	0.23768734	0.000581675	0.005704819
YGL110C	204.8047	0.1636324	0.18008909	0.3314877	0.5404275
YGL111W	198.5832	0.4416193	0.24279715	0.03916774	0.1261238
YGL112C	28.22599	0.4074735	0.2758769	0.08152677	0.2069961
YGL113W	60.27903	0.2353692	0.22641667	0.2468766	0.4460888
YGL114W	97.53592	-0.2670205	0.26908794	0.2458363	0.444955
YGL115W	62.58879	-0.08789574	0.28727732	0.7137381	0.848973
YGL116W	57.95831	-0.281914	0.23340494	0.1753051	0.3532811
YGL117W	60.32869	-1.219881	0.45769271	6.175187e-05	0.001015802
YGL118C	10.64629	-1.03466	0.56963449	0.0007450239	0.006749395
YGL119W	61.42682	-0.2103903	0.2294828	0.3056546	0.5125846
YGL120C	207.5309	0.3886819	0.23902487	0.06633359	0.1808252
YGL121C	117.7673	-0.3050136	0.37060851	0.2536703	0.4552156
YGL122C	499.7281	0.17047	0.12523572	0.1600692	0.3306679
YGL123W	538.2234	-0.02648261	0.33647606	0.9184654	0.9664358
YGL124C	33.19624	-0.3910212	0.29994688	0.1119757	0.2588346
YGL125W	34.63708	0.05449346	0.29506178	0.8227718	0.9125927
YGL126W	22.07247	-0.5886336	0.335948	0.02445131	0.08842335
YGL127C	180.87	-0.1798199	0.50130331	NA	NA
YGL128C	53.92408	0.7258383	0.27865352	0.00209852	0.01491268
YGL129C	26.51614	-0.2469331	0.27760704	0.2928196	0.4993835
YGL130W	48.75053	-0.04478111	0.21488693	0.8185358	0.91001
YGL131C	352.2684	0.1245139	0.14276505	0.3634654	0.5707141
YGL133W	781.2703	0.3522706	0.19340317	0.04893911	0.1468646
YGL134W	41.29239	-0.08897317	0.26572732	0.6965748	0.8356702
YGL135W	741.5777	-0.1450301	0.3844465	0.5863669	0.7569087
YGL136C	65.21729	-0.007958107	0.23160076	0.9693153	0.9934386
YGL137W	288.5036	0.7593709	0.20670109	5.760342e-05	0.0009680488
YGL138C	2.772481	-0.06757729	0.51238492	0.7322486	0.859873
YGL139W	20.8508	-1.180952	0.36688449	2.12222e-05	0.0004428176
YGL140C	336.2838	0.004329784	0.17041524	0.9784966	0.9983958
YGL141W	137.8586	-0.2797505	0.1969946	0.1237121	0.276472
YGL142C	112.2839	-0.403459	0.17138266	0.0123379	0.05489492
YGL143C	96.62789	0.547847	0.23873368	0.009567422	0.04551663
YGL144C	40.30331	-0.3675317	0.27239185	0.1131131	0.2604952
YGL145W	25.27784	-0.5905268	0.31596017	0.02001752	0.07735796
YGL146C	36.26913	-0.247743	0.30888544	0.3208532	0.5293354
YGL147C	77.71191	-0.2133716	0.47111279	0.3825919	0.5887535
YGL148W	100.2036	0.5209758	0.28440823	0.02903671	0.1005851
YGL149W	1.669832	-0.1928596	0.51731496	0.3420253	0.5509621
