gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YER083C	57.66002	0.02008234	0.3150688	0.9453431	0.97867
YER084W	20.54192	-1.063876	0.48985007	0.008468754	0.02311416
YER085C	7.398989	1.673639	0.62575965	0.0002763392	0.001205515
YER086W	45.4147	-1.447736	0.3161207	6.755974e-07	5.976651e-06
YER087C-B	23.19246	1.028095	0.38208026	0.002581808	0.008338295
YER087W	35.18715	-0.1190024	0.27523529	0.6478604	0.7689581
YER088C	190.7634	0.3306226	0.18350504	0.0649954	0.1294672
YER089C	70.91344	-0.3160982	0.34057031	0.3116944	0.4519364
YER090W	36.82221	0.1287054	0.53392631	NA	NA
YER091C	83.74312	-3.302104	0.72278023	2.103172e-09	3.302085e-08
YER092W	12.08985	-0.3449952	0.4006205	0.3303076	0.4726742
YER093C	109.3616	0.1071684	0.21306331	0.6034021	0.730974
YER093C-A	12.93835	-0.06986767	0.40699524	0.8454831	0.9142344
YER094C	100.0392	-0.6990114	0.26981622	0.006281997	0.01784447
YER095W	28.968	1.142628	0.35760693	0.0004150566	0.001700713
YER096W	15.29273	-0.8925982	0.4365624	0.01758426	0.04299806
YER098W	316.7831	0.1168069	0.20978293	0.565619	0.6986799
YER099C	57.25081	-0.4001336	0.26810674	0.1158848	0.2065929
YER100W	51.78139	-0.2099066	0.2608039	0.3979338	0.542466
YER101C	17.68574	-0.7108686	0.3957943	0.04283241	0.09178579
YER102W	667.8677	-0.05679456	0.37765105	0.8670005	0.9281661
YER103W	4839.565	-0.5292247	0.34873136	0.09648117	0.1796243
YER104W	65.44685	-0.2030863	0.38338791	0.5538232	0.688804
YER105C	167.9851	0.01174158	0.16509605	0.9422011	0.9763734
YER106W	25.12812	-0.05850988	0.35463519	0.8561962	0.9209518
YER107C	66.82978	-0.26869	0.24788527	0.2572516	0.389067
YER109C	31.59206	0.5187956	0.30459056	0.06821405	0.1348338
YER110C	146.622	0.8509119	0.30099059	0.002486501	0.008092292
YER111C	322.5192	0.7120898	0.21010384	0.0004669603	0.00188059
YER112W	81.6694	-0.0816851	0.23153224	0.7139294	0.8198464
YER113C	37.18719	-0.8889432	0.3323829	0.003643179	0.0112015
YER114C	96.34917	0.8331308	0.17893295	1.884953e-06	1.490805e-05
YER115C	142.7961	0.9664182	0.20909331	1.808707e-06	1.441285e-05
YER116C	69.2029	-0.3117938	0.31490176	0.2868597	0.4228564
YER117W	633.2555	-0.1923971	0.57359906	0.6562346	0.7758088
YER118C	11.58861	0.4365633	0.45187593	0.2566929	0.3884072
YER119C	103.2241	-1.641357	0.23255041	1.43397e-13	5.580168e-12
YER120W	89.63982	0.6715249	0.34574815	0.03361942	0.07483775
YER121W	29.24725	-0.5551495	0.47626478	0.1625807	0.2707401
YER122C	142.835	0.413487	0.17432587	0.01537001	0.03820218
YER123W	39.57404	-0.5680138	0.264023	0.02361817	0.05572922
YER124C	167.1412	-0.01723202	0.27885179	0.9478739	0.980568
YER125W	305.842	0.2985932	0.19290134	0.1119695	0.2014245
YER126C	68.41472	0.8798244	0.34432174	0.005178492	0.01503303
YER127W	278.1197	1.079146	0.29999537	0.0001165847	0.0005640706
YER128W	15.9204	0.7119372	0.34788756	0.02498678	0.05841915
YER129W	124.1728	-0.05822919	0.20657019	0.7713819	0.8628719
YER130C	69.8867	0.4965581	0.27184395	0.05391475	0.1115763
YER131W	43.54095	0.3559517	0.46034279	0.3606632	0.5044513
YER132C	241.3097	0.7252575	0.18623024	6.530357e-05	0.0003373458
YER133W	405.4737	-0.9498033	0.24212878	4.180848e-05	0.0002276319
YER134C	64.74283	0.5206695	0.24068846	0.02409696	0.05665197
YER135C	36.73589	0.294741	0.46899049	0.454212	0.5976077
YER136W	194.955	-0.1660312	0.24257405	0.4752483	0.617852
YER137C	61.80711	3.141437	0.33828578	5.184526e-24	8.432165e-22
YER138C	9.827188	-0.1575867	0.952564	0.5105691	0.6495266
YER138W-A	14.71929	-2.158777	0.43771181	5.338015e-09	7.608771e-08
YER139C	3.358776	0.5459422	0.67517963	0.2196284	0.3436366
YER140W	77.80364	0.03921391	0.23340726	0.8613314	0.9245939
