gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YGL220W	11.88837	0.270985	0.41061176	0.478811	0.5876738
YGL221C	54.3426	0.4217626	0.29801684	0.1417755	0.2158664
YGL222C	293.4565	-1.629753	0.30983843	4.455479e-08	2.643695e-07
YGL223C	25.58444	-1.082731	0.33326305	0.000673391	0.001846658
YGL224C	18.30488	-0.2478422	0.35142062	0.4577331	0.5669236
YGL225W	47.85985	-0.03244397	0.47130278	0.9397473	0.9763829
YGL226C-A	8.383174	0.20324	0.58252582	0.6860359	0.7784483
YGL226W	17.82056	0.3970953	0.34514509	0.2264817	0.3210937
YGL227W	165.3468	-0.3218915	0.25090154	0.1876556	0.2746422
YGL228W	354.5864	0.9745387	0.19561136	4.185059e-07	2.108485e-06
YGL229C	126.6515	-0.6170777	0.23153732	0.006399767	0.0140075
YGL230C	3.735196	0.5555308	0.59144179	0.2741357	0.3758848
YGL231C	64.14829	0.1544249	0.36820872	0.6572087	0.7535565
YGL232W	159.1345	0.2845795	0.14699895	0.05069871	0.08817177
YGL233W	175.678	-0.679037	0.18870709	0.0002588853	0.0007804799
YGL234W	82.50078	-0.1912679	0.55271974	0.6931393	0.7845437
YGL235W	2.417992	-0.5667299	0.85118016	0.3408689	0.4478318
YGL236C	43.29021	-0.03894258	0.31450958	0.8973414	0.945364
YGL237C	15.26398	-0.1236623	0.408037	0.7452702	0.825112
YGL238W	238.5636	-0.368698	0.16203231	0.02136957	0.04097556
YGL240W	8.240292	0.02864332	0.54585003	0.952454	0.9856598
YGL241W	62.74654	-0.1726608	0.25932682	0.4934477	0.6027227
YGL242C	169.1534	1.498742	0.21520919	1.301236e-12	1.767397e-11
YGL243W	16.01825	1.276786	0.41959249	0.001063055	0.002810721
YGL244W	311.0908	-0.009655928	0.18808358	0.9584422	0.9890026
YGL245W	722.2556	0.8855048	0.24116434	0.0001690953	0.0005244847
YGL246C	55.89916	1.143972	0.26080839	6.534619e-06	2.640069e-05
YGL247W	81.93877	-0.9732175	0.21023113	2.434264e-06	1.056847e-05
YGL248W	72.28614	0.4088488	0.29131279	0.1457788	0.2208971
YGL249W	27.03904	-0.4269839	0.28389701	0.1196879	0.1865309
YGL250W	7.955179	-1.093698	0.57403918	0.02811783	0.0523178
YGL251C	28.65451	0.4363592	0.32244226	0.1574278	0.2365146
YGL252C	74.95805	-0.4431248	0.25741872	0.07664426	0.1260447
YGL253W	71.8245	-1.569463	0.37195435	7.883288e-06	3.126665e-05
YGL254W	9.801816	-1.523835	0.48654713	0.000535064	0.001499736
YGL255W	76.01201	0.758396	0.58001969	0.1304378	0.2006711
YGL256W	115.9536	1.282741	0.51176265	0.005100424	0.01142372
YGL257C	41.11047	0.4080176	0.31494874	0.1767949	0.2614619
YGL258W	0.7532521	-0.393664	1.06311491	0.464748	0.574191
YGL258W-A	1.606114	-0.9273607	0.98173157	0.1225791	0.1901956
YGL259W	2.711547	-0.7923974	0.78140046	0.1770181	0.2616089
YGL260W	0.09239199	0	1.29456266	1	1
YGL261C	1.159334	-0.2823907	1.10967724	0.5710058	0.6761041
YGL262W	40.25066	-0.3050996	0.41343902	0.4279273	0.5383465
YGL263W	17.49078	-1.237994	0.47888543	0.004418066	0.01008776
YGR001C	515.9393	1.55429	0.2571013	5.328516e-10	4.458942e-09
YGR002C	101.4665	0.3313446	0.15905789	0.03520399	0.06377161
YGR003W	70.98468	-0.2494099	0.31722409	0.4122055	0.5226104
YGR004W	38.34689	0.2906109	0.31695504	0.3389277	0.4456506
YGR005C	371.8224	-0.1136163	0.19293088	0.5496972	0.6566345
YGR006W	39.6148	-1.472164	0.32783197	2.709524e-06	1.165187e-05
YGR007W	68.40978	-0.8761724	0.19413816	4.559873e-06	1.885481e-05
YGR008C	647.9741	-4.064241	0.47333603	6.76433e-21	4.00992e-19
YGR009C	712.812	0.07750302	0.18219396	0.6661883	0.7619244
YGR010W	32.01893	-1.219955	0.30189948	2.75517e-05	9.856763e-05
YGR012W	31.99778	-0.138235	0.32369811	0.6555243	0.7524413
YGR013W	499.5957	0.2095133	0.17936987	0.2363566	0.3329359
YGR014W	332.6767	2.190341	0.25933702	3.010428e-18	1.03217e-16
YGR015C	9.065431	-2.00016	0.53999162	2.434632e-05	8.809394e-05
YGR016C-A	0.6527369	-0.1746051	1.05151569	0.7440159	0.8243674
YGR016W	21.39703	-0.9383013	0.34988762	0.004783723	0.01079406
YGR017W	104.3505	0.6717411	0.25684199	0.007161024	0.01549723
YGR018C	7.577467	-1.950446	0.68550231	0.0004487181	0.001278625
YGR019W	100.7878	-1.548369	0.30689193	1.581019e-07	8.585964e-07
YGR020C	31.80686	0.1239541	0.36034729	0.7165345	0.8027199
YGR021W	35.92839	0.3906595	0.2780781	0.146646	0.222105
YGR023W	81.6845	-1.326303	0.36157504	0.000108972	0.0003499795
YGR024C	54.20933	-0.7351588	0.32816945	0.0191028	0.03706086
YGR025W	27.60051	0.318905	0.39799581	0.3918755	0.5023473
YGR026W	216.8095	0.813856	0.17888212	4.008569e-06	1.674991e-05
YGR027C	464.8403	0.5407331	0.52371089	0.2457496	0.3435728
YGR027W-B	0.2441965	0.09626285	1.30057448	0.6803021	0.7738802
YGR028W	135.9968	-1.120936	0.26750884	1.607736e-05	6.002276e-05
YGR029W	59.03687	-1.492565	0.25101871	1.070739e-09	8.532283e-09
YGR030C	89.60182	-1.260723	0.37818184	0.0004072165	0.001176218
YGR031C-A	10.29262	-2.125051	0.5438955	7.784518e-06	3.091872e-05
YGR031W	16.48292	-0.8973939	0.45402091	0.0311332	0.05719024
YGR032W	1114.87	-0.108608	0.24652387	0.6513338	0.7488405
YGR033C	145.7236	0.7800854	0.20453871	0.0001038476	0.0003341987
YGR034W	552.4228	0.6873082	0.55536146	0.1576374	0.2367094
YGR035C	207.98	-5.460002	0.50021848	6.865442e-30	1.61287e-27
YGR035W-A	1.367126	0.7334613	0.91556359	0.2204198	0.3141849
YGR036C	63.00724	-2.052715	0.29681775	6.420551e-13	9.238282e-12
YGR037C	24.29985	0.2369444	0.58080529	0.6367676	0.7366436
YGR038C-B	5.915424	-0.2646024	1.26624178	0.4105117	0.5207751
YGR038W	38.42567	-0.8689108	0.32108099	0.004733856	0.01070858
YGR039W	5.424022	0.5914033	0.61602854	0.2568906	0.3563213
YGR040W	16.0493	-1.04892	0.44476211	0.01041613	0.02164085
YGR041W	21.37438	0.9120656	0.35084822	0.006222056	0.01367516
YGR042W	13.74291	-0.5941032	0.4626395	0.1598381	0.2394551
YGR043C	44.94835	-1.16877	0.48598827	0.007899671	0.01692825
YGR044C	4.025176	-0.8364913	0.66155183	0.1246075	0.1930123
YGR045C	32.4958	-1.930123	0.31189551	1.091189e-10	1.025394e-09
YGR046W	49.58563	-0.2350047	0.68301293	NA	NA
YGR047C	303.0574	1.014554	0.21276349	1.192206e-06	5.533001e-06
YGR048W	194.9271	0.316129	0.19007763	0.09120935	0.1466889
YGR049W	400.0846	-0.3848078	0.43570093	0.3387917	0.4455641
YGR050C	30.14377	-2.303912	0.39931229	4.848109e-10	4.094748e-09
YGR052W	121.9977	-2.545074	0.44442494	2.576102e-10	2.27263e-09
YGR053C	85.23852	-1.743372	0.40524717	3.975311e-06	1.663443e-05
YGR054W	79.10576	1.228433	0.24548556	2.954764e-07	1.528717e-06
YGR055W	176.1321	0.6806247	0.52607526	0.1453868	0.2205137
YGR056W	123.225	0.7478577	0.38237803	0.03758986	0.0675829
YGR057C	12.95681	-1.100554	0.59519095	0.03111232	0.05716844
YGR058W	11.08144	0.3044776	0.4618017	0.4707237	0.580105
YGR059W	12.18814	0.487165	0.40556735	0.1980565	0.287148
YGR060W	585.5391	1.639525	0.49938677	0.0002590003	0.0007804799
YGR061C	101.2539	0.1289439	0.35271146	0.7002277	0.7900292
YGR062C	30.92365	-0.7326106	0.29326117	0.009600648	0.02009799
YGR063C	24.74229	0.04309189	0.44909226	0.9168337	0.9593471
YGR065C	27.79658	-0.6773355	0.30730749	0.02182931	0.04174353
YGR066C	12.02351	0.2217132	0.52256812	0.6336139	0.7335304
YGR067C	173.0812	-5.983582	0.52541984	9.493076e-33	2.737026e-30
YGR068C	27.98773	-1.745731	0.34916667	1.420686e-07	7.768457e-07
YGR070W	365.7611	-0.1369221	0.22415206	0.5327056	0.6401402
YGR071C	81.20337	-0.6032867	0.25598446	0.01538873	0.03063739
YGR072W	379.127	0.6741492	0.19616583	0.0004770187	0.001349567
YGR074W	6.786843	-1.801928	0.77133213	0.002331643	0.0056905
YGR075C	20.12577	-1.431636	0.37099866	4.438488e-05	0.0001530072
YGR076C	409.4066	-0.4366438	0.5444314	NA	NA
YGR077C	68.46778	-0.2205135	0.23674548	0.3402363	0.4470932
YGR078C	28.86086	1.416462	0.45732078	0.0007221302	0.001968402
YGR079W	67.21521	0.38307	0.3917413	0.2970264	0.4000081
YGR080W	25.84674	0.287035	0.30638185	0.3298339	0.4363163
YGR081C	23.64556	1.12507	0.42030679	0.003969283	0.009168667
YGR082W	8.814111	0.6904992	0.61812399	0.1866069	0.2734861
YGR083C	801.1578	1.302477	0.22102903	1.873682e-09	1.434772e-08
YGR084C	35.90623	-0.2382822	0.281687	0.3818309	0.4910692
YGR085C	338.65	2.291366	0.34046108	1.154232e-12	1.588132e-11
YGR086C	428.5363	-0.9759244	0.19713673	4.916371e-07	2.44393e-06
YGR087C	14.50545	-0.7735349	0.39368531	0.03603015	0.06507381
YGR088W	396.8309	-3.995705	0.34347309	1.790659e-34	6.310082e-32
YGR089W	268.0008	1.020583	0.18869823	4.086834e-08	2.450169e-07
YGR090W	73.06809	0.8388226	0.27500859	0.001645841	0.004132846
YGR091W	32.07512	0.8554132	0.2692579	0.001060218	0.002805576
YGR092W	69.07549	0.918428	0.19294488	1.341789e-06	6.15399e-06
YGR093W	174.008	1.079808	0.21977818	5.447986e-07	2.691322e-06
YGR094W	821.2665	1.348374	0.21619709	2.102367e-10	1.878213e-09
YGR095C	47.62601	1.224024	0.30467383	3.027427e-05	0.0001073391
YGR096W	26.54559	-0.05543725	0.29990088	0.8478178	0.9079999
YGR097W	197.4859	0.9812198	0.17992444	3.279954e-08	1.996617e-07
YGR098C	97.83228	0.7379976	0.23800943	0.001495804	0.003814993
YGR099W	54.48913	0.009078916	0.22112831	0.9665727	0.9946077
YGR100W	122.329	-0.0752795	0.18490007	0.6795723	0.7733275
YGR101W	23.26624	-0.2402529	0.33095409	0.4472976	0.5578467
YGR102C	220.9094	0.5760231	0.23785584	0.01311143	0.02651125
YGR103W	916.7725	1.572848	0.26566834	1.113646e-09	8.863055e-09
YGR104C	20.84503	-0.1248611	0.33481807	0.6959901	0.787186
YGR105W	36.068	0.1903943	0.26898567	0.4656299	0.5750566
YGR106C	389.9215	-0.5034875	0.35930349	0.1390438	0.2121104
YGR108W	84.70167	-0.8408209	0.30247544	0.003881376	0.00897869
YGR109C	11.82506	1.500285	0.54321125	0.00172012	0.004292181
YGR109W-B	10.66158	0.1488986	0.58182107	0.7669255	0.8432325
YGR110W	46.09929	-2.274982	0.49225849	2.245022e-07	1.185733e-06
YGR111W	67.03225	0.1367542	0.27563391	0.6085499	0.7107406
YGR112W	59.76319	0.4918247	0.29657633	0.08523984	0.138245
YGR113W	238.5748	0.9796563	0.22069874	5.953453e-06	2.419138e-05
YGR116W	1172.018	0.2118353	0.15150017	0.1579385	0.236979
YGR117C	85.75683	-1.278841	0.21511454	1.401685e-09	1.096287e-08
YGR118W	1123.061	0.6649492	0.26631769	0.01009129	0.02106253
YGR119C	176.0881	0.6824178	0.19014317	0.0002678308	0.0008051425
YGR120C	9.051235	1.167026	0.48598057	0.007992178	0.01711492
YGR121C	97.4441	-1.425637	0.30497018	1.209743e-06	5.606908e-06
YGR121W-A	57.74107	-0.9357402	0.33568035	0.003492822	0.008166226
YGR122W	60.29854	-2.890522	0.48862563	2.085041e-11	2.260755e-10
YGR123C	21.93194	1.284113	0.38054681	0.000341911	0.0009980989
YGR124W	60.50505	1.156909	0.25140478	2.35439e-06	1.024976e-05
YGR125W	457.0719	0.6864802	0.15010984	3.885524e-06	1.628941e-05
YGR126W	30.43814	-0.5174291	0.35964727	0.1287535	0.1986098
YGR127W	116.0067	-1.358892	0.33347803	2.012894e-05	7.384491e-05
YGR128C	69.25417	2.054374	0.33922458	1.83572e-10	1.658685e-09
YGR129W	133.2744	0.1897226	0.2630351	0.4577783	0.5669236
YGR130C	1762.045	-0.6390117	0.19022686	0.0006459894	0.001777662
YGR131W	87.37818	-3.317337	0.2801081	2.130358e-35	9.008573e-33
YGR132C	29.72066	-2.606451	0.45403626	1.863558e-10	1.681444e-09
YGR133W	6.481551	-1.104635	0.56908091	0.02567961	0.04821855
YGR134W	97.76335	-0.01065016	0.18553817	0.9535579	0.9859298
YGR135W	83.94648	0.03267224	0.27302108	0.9017538	0.9485612
YGR136W	33.89891	0.7390484	0.42611395	0.06122747	0.1043153
YGR138C	120.3282	-0.1221907	0.39351051	0.7404733	0.821985
YGR140W	69.26329	1.345117	0.21467672	1.753437e-10	1.595703e-09
YGR141W	99.29737	-0.6875879	0.29082251	0.01429004	0.02862973
YGR142W	2617.744	0.2083725	0.43538411	0.604334	0.7065829
YGR143W	133.0389	-1.771542	0.29428795	4.32958e-10	3.6912e-09
YGR144W	7.935234	0.1390812	0.60452353	0.787203	0.8602977
YGR145W	413.2979	1.714565	0.29899238	2.664085e-09	1.990376e-08
YGR146C	79.62075	-0.2695295	0.33934717	0.4046038	0.5144121
YGR146C-A	1.917117	-1.548113	0.94379149	0.01399529	0.02811024
YGR147C	233.8804	-0.8398882	0.20891162	4.240313e-05	0.0001465739
YGR148C	804.7811	1.278503	0.25318701	2.20839e-07	1.169267e-06
YGR149W	43.35066	-1.205082	0.26937001	4.098467e-06	1.709177e-05
YGR150C	136.2371	0.2929181	0.15600899	0.05778512	0.09911602
YGR152C	152.6724	1.616754	0.25622668	9.137555e-11	8.650673e-10
YGR153W	48.88008	1.720271	0.30706096	5.667758e-09	4.030335e-08
